UMAP_1 UMAP_2
S_S_cell49_count -0.0337236238633659 0.0426512278470608
S_S_cell50_count -0.0359089268538983 0.0424020802021715
S_S_cell51_count -0.0438631575416213 0.0251815251364295
S_S_cell52_count -0.0305948080183124 0.0374853100722658
S_S_cell53_count -0.038253103919222 0.0387265062191488
S_S_cell54_count -0.0370115061097802 0.0400537229293076
S_S_cell55_count -0.040528624742143 0.041779684670275
S_S_cell56_count -0.045507824801883 0.0270760395503771
S_S_cell57_count -0.0382543432628272 0.039681408024713
S_S_cell59_count -0.0403156972049908 0.0405331412245107
S_S_cell60_count -0.0454282114772058 0.0246987912896362
S_S_cell61_count -0.0396985154890683 0.0401700911233466
S_S_cell62_count -0.0222508863543951 0.0215962485583727
S_S_cell63_count -0.0393069141725242 0.0415849793430715
S_S_cell64_count -0.0353407932342205 0.0392947896639761
S_S_cell65_count -0.04199610989391 0.0381260678691334
S_S_cell66_count -0.0453985567714587 0.0493935874355374
S_S_cell67_count -0.0437868406792553 0.0388732134910743
S_S_cell68_count -0.0410310893457489 0.0373484907882752
S_S_cell69_count -0.0361627325676235 0.0421664581375117
S_S_cell70_count -0.0354320612357633 0.0427659651195139
S_S_cell72_count -0.0377451436246202 0.0414559136956888
S_S_cell73_count -0.0144147171965877 0.0307674617428744
S_S_cell74_count -0.062487318722565 -0.0294939968026316
S_S_cell75_count -0.039160269674163 0.0351317334724426
S_S_cell76_count -0.038970963441407 0.0178750433102552
S_S_cell77_count -0.0445994838372444 0.0386972697639954
S_S_cell78_count -0.0462980130382445 0.00197383090696455
S_S_cell79_count -0.0347217600186573 0.0371554541764211
S_S_cell80_count -0.0422920957094849 0.04650586541901
S_S_cell81_count -0.063996807210344 -0.0278477354853058
S_S_cell82_count -0.0419042227787296 0.0460729860886314
S_S_cell83_count -0.0315490649184284 0.0378966708468189
S_S_cell85_count -0.0276774711427995 0.0087968693178581
S_S_cell86_count -0.0452300552199164 0.0501298318843467
S_S_cell87_count -0.0553600555321186 0.00235009482041783
S_S_cell88_count -0.0644984900878386 -0.0278671946429541
S_S_cell89_count -0.0431583171041724 0.0469356896685776
S_S_cell90_count -0.0643115428929267 -0.0271617776553795
S_S_cell91_count -0.0449154639255463 0.0318164255677543
S_S_cell92_count -0.0346628202855796 0.0370058694176857
S_S_cell93_count -0.0383834376065154 0.0316646950914345
S_S_cell94_count -0.0643321428634403 -0.0281619578938809
S_S_cell95_count -0.0641512220753076 -0.0246323627478725
S_S_cell96_count -0.0625565625279951 -0.0246772207772582
